property_id,name,address,postal_code,lat,lon
PITHOLD,Pittsburgh Hold Room,3000 SIDNEY ST SUITE 100 PITTSBURGH PA 15203,15203,40.424825,-79.960811
PKEHOLD,Pike County Ero Hold Room,170 PIKE COUNTY BLVD HAWLEY PA 18428,18428,41.388359,-75.072108
PLATTWY,Platte County Jail,850 MAPLE STREET WHEATLAND WY 82201,82201,42.055382,-104.952706
PLYMOMA,Plymouth County Correctional Facility,26 LONG POND ROAD PLYMOUTH MA 02360,02360,41.931808,-70.651299
POLKCTX,Polk County Adult Detention Facility,3400 FM 350 SOUTH LIVINGSTON TX 77351,77351,30.698151,-95.005792
POLKJFL,Polk County Jail,2390 BOB PHILIPS ROAD BARTOW FL 33830,33830,27.881488,-81.81947
POLKJIA,Polk County Jail,1985 NE 51ST PLACE DES MOINES IA 50313,50313,41.653605,-93.587813
POMHOLD,Portland Maine Hold Room,511 NORTHWEST BROADWAY PORTLAND ME 04101,04101,43.634917,-70.250042
POOHOLD,Portland District Office,1111 SOUTHWEST 2ND AVENUE PORTLAND OR 97204,97204,45.515096,-122.676329
POTTAIA,Pottawattamie County Jail,1400 BIG LAKE ROAD COUNCIL BLUFFS IA 51501,51501,41.281836,-95.867184
PRLDCTX,Prairieland Detention Facility,1209 SUNFLOWER LN ALVARADO TX 76009,76009,32.420785,-97.196902
PRLHOLD,Prairieland Suboffice Hold Room,1209 SUNFLOWER LN ALVARADO TX 76009,76009,32.420785,-97.196902
PRUHOLD,Provo Hold Room,3075 NORTH MAIN SPANISH FORK UT 84660,84660,40.148962,-111.659712
PUEHOLD,Pueblo Holdroom,"935 CO-67 Florence, CO 81226 FLORENCE CO 81226",81226,38.393003,-105.116869
PWILLVA,Prince William County Correctional Facility,9320 LEE AVENUE MANASSAS VA 20110,20110,38.751908,-77.477759
RAADCMN,Ramsey County Adult Detention Center,425 GROVE STREET ST. PAUL MN 55101,55101,44.955749,-93.089261
RAPPSVA,Rappahannock Regional Jail,1745 JEFFERSON DAVIS HIGHWAY STAFFORD VA 22554,22554,38.318495,-77.471987
RCMHOLD,Richmond Sub-office Hold,"400 N 8th St, Richmond, VA 23219 RICHMOND VA 23219",23219,37.542324,-77.433933
RDUHOLD,Raleigh Hold Room,"120 Wilkinson Ave, Cary, NC 27513 CARY NC 27512",27512,35.789744,-78.779608
RENHOLD,Reno Hold Room,"911 E Parr Blvd, Reno, NV 89512 RENO NV 89512",89512,39.572905,-119.80945
RGRNDTX,Rio Grande Detention Center,1001 SAN RIO BOULEVARD LAREDO TX 78046,78046,27.377813,-99.489677
RGS,Rio Grande Valley Staging,27991 BUENA VISTA BLVD LOS FRESNOS TX 78566,78566,26.155113,-97.338322
RIIHOLD,Rock Island Hold Room,1317 3RD AVENUE ROCK ISLAND IL 61201,61201,41.509186,-90.580731
RNDLLTX,Randall County Jail,9100 SOUTH GEORGIA STREET AMARILLO TX 79118,79118,35.116465,-101.866116
ROCKIVA,Rockingham County Jail,25 SOUTH LIBERTY STREET HARRISONBURG VA 22801,22801,38.449565,-78.870468
RONKEVA,Roanoke City Jail,340 CAMPBELL AVENUE SOUTHWEST ROANOKE VA 24016,24016,37.271388,-79.947238
RPCHOLD,Rapid City Hold Room,1675 SAMCO ROAD RAPID CITY SD 57702,57702,44.099197,-103.264685
RSREGVA,Riverside Regional Jail,1000 RIVER ROAD HOPEWELL VA 23860,23860,37.295038,-77.321437
SAAHOLD,Santa Ana Dro Holdroom,34 CIVIC CENTER PLAZA SANTA ANA CA 90701,90701,33.748562,-117.875155
SACHOLD,Sacramento Hold,650 CAPITOL MALL SACRAMENTO CA 95814,95814,38.578139,-121.499567
